[  nom= guest ,    Score= 0 pays= L1,   Arena=L1]
[  nom= guest ,    Score= 0 pays= L1,   Arena=L1]
[  nom= guest ,    Score= 0 pays= L1,   Arena=L1]
[  nom= guest ,    Score= 0 pays= L1,   Arena=L1]
[  nom= guest ,    Score= 0 pays= L1,   Arena=L1]
[ Arena=L1,   Score=8,   nbround=1]
[ Arena=L1,   Score=8,   nbround=1]
[ Arena=L1,   Score=8,   nbround=2]
[ Arena=L1,   Score=8,   nbround=1]
[ Arena=L1,   Score=8,   nbround=1]
[ Arena=L1,   Score=8,   nbround=2]
[ Arena=L1,   Score=8,   nbround=1]
[ Arena=L1,   Score=8,   nbround=1]
[ Arena=L2,   Score=12,   nbround=1]
[ Arena=L4,   Score=12,   nbround=1]
[ Arena=L1,   Score=8,   nbround=3]
[ Arena=L1,   Score=8,   nbround=1]
[ Arena=L1,   Score=8,   nbround=2]
[ Arena=L1,   Score=8,   nbround=1]
[ Arena=L1,   Score=8,   nbround=1]
[ Arena=L1,   Score=8,   nbround=1]
